id	width	height	ar	flags
95d91e7f-9b77-4d39-a4d3-0486e038b304	3114	5138	0.6061	1
ce6828ac-6a9b-495f-94db-7ad84befa018	3522	4542	0.7754	1
43103164-84e2-4cca-82d1-109a17f4161a	3182	5028	0.6329	1
74602ba4-fd37-4934-b08f-00181abb9978	3196	5005	0.6386	1
ff21a491-43d6-4a46-82b9-bf339933a344	3196	5005	0.6386	1
b0c79aad-708c-4c72-95c4-29170fff025c	2574	3457	0.7446	1
68f62f2d-2a44-44ad-874f-140b89415650	3244	4932	0.6577	1
ee952843-e34c-4236-946d-77bbceeb835e	701	1200	0.5842	1
08203435-50c3-4c61-bd77-c21a210990ab	921	1200	0.7675	1
747a3c66-e0cd-489f-afe9-d197412d029f	548	800	0.685	1
9b04cac9-d30b-4a18-b7d2-afa84cd71d97	3319	4820	0.6886	1
8c2911f9-cc9c-4f05-82d2-8a2892918b3a	3784	2597	1.4571	2
304f2a7e-cce1-415f-897b-0a253aabd890	3143	5090	0.6175	1
c84bd6e4-57e6-47d2-926d-ccbefb1702bf	3894	2724	1.4295	2
4a10f18f-2a90-4217-b595-ea2e7dc51bfa	3741	2563	1.4596	2
e4b28c8f-8443-4d01-a3ef-c3c0ccae5aca	2872	3496	0.8215	1
a36d8738-86e0-4bdc-bf0f-d88bf1319e83	2872	3496	0.8215	1
eccef875-5e24-4af1-b3bb-0944d6b5414b	2872	3944	0.7282	1
df93dd65-7f4d-4bec-b361-05789309be71	2709	4405	0.615	1
1e7198ed-0c8f-40d1-9f81-58afc7d7565d	2825	5206	0.5426	1
116f85f4-73bf-42b2-a52e-d300ef63b35c	2773	4309	0.6435	1
9f3fcd24-29d9-4b95-b334-1fea54d07c16	2714	3215	0.8442	1
b455c37d-6ff9-48b9-aac2-6ceaeb932d76	2927	4039	0.7247	1
b69a1447-68b8-4960-a729-7b705e8b1621	2504	2761	0.9069	1
9a101595-7016-4841-9a03-1a35b70d608b	4777	3349	1.4264	2
9516687b-cf05-4551-b77a-bef522001f6c	4777	3349	1.4264	2
154b231f-1fb8-4b79-954c-df74e9f4a1c4	3116	5239	0.5948	1
7ef7c421-90d1-4a27-a0a6-afbd9fe8a75a	3172	5044	0.6289	1
fa2905c0-87bd-44bf-b701-d9843cf50894	2664	3229	0.825	1
883ee448-f897-4cf1-83e0-5185ccb2c0de	2921	5019	0.582	1
80c09fcd-77b9-4d91-9e94-cce01d413121	4673	3423	1.3652	2
8f03556f-f016-4676-93be-4a596121ae4e	1805	2683	0.6728	1
07db88f9-1cdd-428d-bf5a-59a1c85e1a9a	667	1200	0.5558	1
69736324-1bdc-468d-a332-f812e97a54e0	2551	4584	0.5565	1
993b64b8-713c-49f7-a880-bc7a9405f348	3320	4817	0.6892	1
d2498fb3-a28d-4b7b-8861-6c6e517c624e	3186	4516	0.7055	1
389f5f0e-2b04-429f-a156-421c9676e110	3127	5116	0.6112	1
b17b7f74-b6c9-4f8e-a515-4fb4700d3173	3290	4863	0.6765	1
cb86c547-1903-4e44-a1ac-4e521e69b562	2905	4090	0.7103	1
af8c2d3d-0e12-4255-8ad4-487abf545a14	2770	4001	0.6923	1
f0c069b4-d706-4f32-b5d2-8dc443bd1fa3	3982	2580	1.5434	2
041a59dd-e63e-4e13-ab3a-429a8eec22a6	3117	5131	0.6075	1
bc6de284-9796-4e7e-a12a-423f710dff1e	2664	3932	0.6775	1
95af0f51-f152-407c-b390-26a2bf216ec6	4305	3152	1.3658	2
0c024672-9203-4d2e-b9d1-7238eb481d8d	872	1303	0.6692	1
